Company ID,Contract ID,User Email,User ID,Company Name,Country,Subscription Tier,2020,2021,2022,2023
C056,5f4037af-107d-4491-8bc3-fa153a9f172c,maynardmckenzie@rivas-mack.com,0876791a-556e-47e3-ad9d-e70815ff3444,Gonzales-Esparza,Tuvalu,Tier 3,1,0,1,1
C017,d5021d87-493a-441c-b716-5f9af8bc75b1,donaldadams@yahoo.com,bb2b5eed-98f0-486f-abc5-53bc12251e65,"Davies, Holt and Todd",Kyrgyz Republic,Tier 3,0,1,1,0
C041,c1d9a661-4a0d-45e9-8688-1603c630c97a,michellejames@gmail.com,dbd2703d-eaac-464a-af05-252dcccfaa6c,Nicholson-Williams,Ghana,Tier 3,1,1,0,1
C033,e24eee99-f6ef-4c04-ad41-d3f337b49253,stokesdaniel@adams-dunlap.com,96d0f1ce-1cf3-4dcc-88d9-1bb7a74801e4,Phillips-Villa,Gibraltar,Tier 2,0,1,0,0
C056,ad4f14ee-f5f4-4801-9e55-2aa47efecb95,victoria86@barnes.org,3f09727b-2850-4422-bbf6-a6386e0acd37,Gonzales-Esparza,Tuvalu,Tier 2,0,0,0,1
C081,ea5f5d2b-43fb-47fc-b3d4-c2aa424e6643,kennethrocha@david.com,017c44d7-8d26-4593-9df0-acd868d1b1c0,Burke-May,Jamaica,Tier 1,0,1,1,1
C094,e3875eff-a731-4713-8e1a-3f77785e4884,jeffrey22@santana-welch.net,a1eb8cd4-5e3d-4102-ab98-aa9473eb14a1,Davies-Robinson,Bouvet Island (Bouvetoya),Tier 1,1,1,1,1
C073,c2ac8506-00ab-4035-a057-a025ad51e2df,amy37@sanchez.info,8d83f629-c523-4cb1-b973-8d48da78aa3e,"Williams, Perez and Delgado",Congo,Tier 1,1,1,1,1
C073,6c15bfb5-3920-4d63-82ea-4f84f747f9e5,kristi63@hotmail.com,90688ba7-0e3a-49bd-970d-8506611ca931,"Williams, Perez and Delgado",Congo,Tier 2,1,1,1,0
C024,577043c0-b6d6-4a2a-86a0-ce3cc68ddaeb,nunezbriana@white.com,b81b0599-5cdc-403e-901f-694668f7e353,"Soto, Smith and Burns",El Salvador,Tier 3,1,0,1,1
C040,7d95505e-7411-40a9-9524-b2ee0217f0b8,robertstewart@gmail.com,3de4ce3b-9855-4caa-baf4-f39b46558852,Fry Ltd,Greece,Tier 2,0,0,1,1
C046,0abb3437-1cb2-4bff-9637-0efcfdf7fe17,erichards@marks.org,6c935d6b-e640-4890-b0ee-1788ac6c172d,Coleman Group,Timor-Leste,Tier 1,1,1,1,1
C094,d4c5cdbf-242c-4438-9ea3-c4dec7d1a289,sandra61@phillips.org,0aa7df6b-7b94-40b6-9663-9163309889e6,Davies-Robinson,Bouvet Island (Bouvetoya),Tier 2,1,1,0,1
C006,96dc4892-3bc1-461b-bc7b-adaa4ab3b732,kim20@yahoo.com,c84ccab8-3578-487f-922c-63430907354b,Henderson-White,Denmark,Tier 3,0,1,1,0
C082,ed84e892-2bf9-4a76-ab3b-2a2a9c6e73eb,aaron00@neal.biz,4ef00b17-7b22-4e6c-8b0d-7acf141df11f,Shaw Ltd,Japan,Tier 2,0,1,0,1
C006,826cc578-ccab-4283-9569-1042b360df73,michaelspencer@grimes.net,04cc1b11-e21a-468a-8a4d-8ab6ca420923,Henderson-White,Denmark,Tier 1,0,1,1,1
C018,73e1264d-93e5-4c53-a8da-7430cccfd8a1,zachary02@harris.org,15092c9c-fcc3-4337-8c3a-9518997f7d78,Jones-Hall,Kenya,Tier 1,1,1,0,1
C059,2cfd0f00-f702-4075-8276-dfb7dec161ef,ann17@torres.com,56325ced-6a58-4a98-b855-477a3f8add0c,Williams PLC,Netherlands Antilles,Tier 1,0,0,1,1
C064,f37d4b0d-c243-4db3-92dd-486251ec56a9,christopherharris@johnson.com,4a34d5d5-3477-4fde-9226-e1815896a48a,"Freeman, Hunter and Ellison",Comoros,Tier 2,1,1,1,1
C072,e210da84-996d-4067-8695-1e0439636baf,megan13@yahoo.com,d8d2ec12-5bc3-4c66-9ae9-e5b67805cc8c,Olson-Lamb,Bhutan,Tier 1,1,1,1,0
C030,9b896399-5607-4d4e-bbbc-71836dc26dfe,qrojas@miller.org,cb1e3d91-b1fd-4e9d-bf5f-77292bb2c8fd,"Wood, Daniels and Choi",Slovenia,Tier 2,0,1,1,0
C082,ed84e892-2bf9-4a76-ab3b-2a2a9c6e73eb,zgomez@hebert.info,a00eb04d-eb71-427c-9537-f156b0469621,Shaw Ltd,Japan,Tier 2,0,0,1,1
C001,2976e4bb-5453-47b4-bb22-1c75335a8d81,baldwinralph@may-castro.com,8e383c7a-080d-4d92-b35b-144c0e65fe16,Harrington Group,Malawi,Tier 3,0,0,1,0
C073,6c15bfb5-3920-4d63-82ea-4f84f747f9e5,csanchez@bass.com,b4f47e62-7a44-44d3-8b7d-b5290deea78d,"Williams, Perez and Delgado",Congo,Tier 2,1,0,0,1
C039,bc503c89-e335-4d41-8360-87f96bcb297f,kristopher84@hotmail.com,d317d22b-2789-4ff5-bf0d-ad05ca360006,Patel-Chen,South Georgia and the South Sandwich Islands,Tier 2,1,1,1,0
C027,6223615f-1d59-44d8-b05e-8bc7034bd439,shannonmosley@robertson.info,90fbc4a8-d8dd-490e-9003-eae41bc50c11,Bishop PLC,Micronesia,Tier 3,0,0,0,0
C038,2dc77ff6-429c-4171-8703-34cb45db630d,darren97@yahoo.com,c6c156b9-11c3-4d34-a16b-77c00e46dfc1,Mckay-Khan,Guam,Tier 3,1,1,1,0
C064,821852a9-53f6-4cd8-a418-8a21830362c8,jonesthomas@hodges-lyons.biz,908065d4-09a3-4c89-ac00-b7a4c630a8d1,"Freeman, Hunter and Ellison",Comoros,Tier 1,0,0,0,0
C004,51cf58f6-0705-44e6-8dcc-ac5ed3773959,joshuabridges@campos.com,e46d76f7-2c1f-40e7-b35b-30c19a06a4d8,Rose and Sons,Cocos (Keeling) Islands,Tier 3,1,1,0,1
C016,dd3e1f34-5346-4512-a49f-d4ec1feca19a,ryananderson@gmail.com,4a4ac896-8be5-4b2e-816c-0e824687f38c,"Cain, Mills and Wilkinson",United States Virgin Islands,Tier 3,0,1,0,0
C079,201696ee-7aae-419d-8d94-019529d0e78b,juan22@hotmail.com,26efb959-6ec5-4948-b4fe-677b151ae75f,Morrison-Estrada,Portugal,Tier 3,0,0,0,1
C064,821852a9-53f6-4cd8-a418-8a21830362c8,javier77@yahoo.com,5a8fd7de-d39c-43e7-8b4a-606ffb084353,"Freeman, Hunter and Ellison",Comoros,Tier 1,0,0,1,0
C040,7d95505e-7411-40a9-9524-b2ee0217f0b8,brandi01@howell.com,91ee7c83-050c-4fd7-b549-d55e9eaf618d,Fry Ltd,Greece,Tier 2,1,0,0,0
C070,cb650ea1-ad15-4318-999e-fe158c89c5f0,darlene94@brown.com,74a30946-c3ec-46f4-99e0-da8511c2020d,Robbins-Flores,United States Minor Outlying Islands,Tier 1,0,0,1,0
C053,57cdebfd-0607-4cf0-a5c8-1dd75601305b,perezjoshua@hotmail.com,ae83a905-aa37-46a6-8251-3f0e6e0acf02,Webb PLC,Canada,Tier 2,1,1,1,1
C008,01ca7890-a57f-4fed-8992-5905055cf7ca,ronnie20@williams.biz,5d35a047-5e8e-483e-971a-5391a005049f,"Lang, Dodson and Hicks",Congo,Tier 2,1,0,0,0
C091,d1a9bd32-2e50-49ea-abfe-75c572adb9fe,haroldmcdonald@yahoo.com,a3413127-8f08-48b9-8945-a9e0c05cb637,Dudley-Silva,Malaysia,Tier 3,0,1,0,1
C092,53547266-191f-445a-8049-82ac69b79da8,jeremy96@gmail.com,4b52f50a-e0f7-46b8-a4de-517495f5085e,Roberson and Sons,Panama,Tier 3,0,1,1,0
C027,ca8694c8-42bf-4b74-9cb9-3c88a36af2bc,bramsey@hotmail.com,0a13ea77-c517-4dbe-8723-8531ea7812eb,Bishop PLC,Micronesia,Tier 1,1,1,1,1
C081,bec8923c-1473-4af2-8526-c3d0f5a93b21,donald64@hotmail.com,67bb2f8c-04b7-4a73-8fd2-ab0847f97529,Burke-May,Jamaica,Tier 3,1,1,1,1
C032,031b32a9-2ba0-4103-a09d-55761cd56007,andrea61@jones-kline.biz,a262e8f9-69d6-4787-b008-88662848155c,Gray Inc,Zimbabwe,Tier 3,1,1,0,0
C002,17e62271-3825-47a3-bf0c-e3577ce462d1,sharonacosta@murphy.com,07c41eba-7dff-4142-a74b-7345d6eb484a,Ponce PLC,Zambia,Tier 1,1,1,1,0
C095,cef5a04e-e417-4c3d-b626-72ac88cf8ed2,aanderson@yahoo.com,c5b64305-06d3-412b-8daa-8996921eee4c,Smith Ltd,Slovenia,Tier 1,1,1,1,1
C077,7eca9e51-3333-4b4c-bb2d-ad112c065891,stonechris@yahoo.com,ae7d5d12-25d9-4619-8467-26839917edf4,Bowman-Mullins,Botswana,Tier 3,1,1,0,1
C029,9dd33db3-4aaf-4882-a83f-c11a3a72419c,alicia35@johnson-decker.com,edc01318-f0f9-41d0-9318-5b8015c563c2,"Smith, Kidd and Roberts",Martinique,Tier 3,1,1,1,1
C085,65de946f-0abb-4577-971c-7461148c34f0,elizabetholson@williams-sullivan.org,1c093cff-5a6c-4685-970c-d854ad0f60a7,Sanchez and Sons,Italy,Tier 1,0,0,1,1
C085,65de946f-0abb-4577-971c-7461148c34f0,batesbrandi@brown-tucker.org,4b69c868-6a98-4c0a-a609-f3bb759695a0,Sanchez and Sons,Italy,Tier 1,0,0,1,0
C034,49d294ef-75b6-4818-8b66-fc8d835bc5a1,wilcoxryan@gmail.com,71b11b48-3388-4053-9cdf-d422dae60e3f,Williams-Gray,Azerbaijan,Tier 1,0,0,1,1
C094,28911719-ee1c-4a97-aee1-3bb5d3270ab8,gcollins@cohen.com,0c5c96a0-3221-4a91-8b10-862520a4551a,Davies-Robinson,Bouvet Island (Bouvetoya),Tier 3,1,1,1,1
C044,4b2d71e4-89b1-4f05-99ce-a7d205792970,jcobb@hotmail.com,b49f38c9-3f8d-4ec7-b147-49440f25400e,Gonzales-Stewart,Finland,Tier 3,1,1,1,1
C070,c2a2a566-888c-4d2c-9651-b32aede1585f,melindawood@rowe.com,ee25648b-c76e-4b62-8294-62d93f0dd491,Robbins-Flores,United States Minor Outlying Islands,Tier 2,1,1,1,1
C080,3a683ad9-a1cd-4e1b-b8e5-8bfe569ddf8e,emilymorris@gmail.com,24e93d02-ee89-4214-b496-13f07f25bf68,Turner Group,Aruba,Tier 3,1,1,1,1
C032,dd66a786-23ed-4f26-9d3b-887c4cfd21be,qraymond@moreno-hoffman.com,a03fb5f5-1c98-482f-aab1-c55a503fdcc5,Gray Inc,Zimbabwe,Tier 3,0,1,1,1
C007,3ebe1050-421f-4baf-b370-09d4c8343c94,jason40@hotmail.com,7e955846-3d74-44bb-a5f7-258402006ba3,Powell Inc,Slovenia,Tier 1,1,0,0,1
C089,0a1c40a8-f027-406d-9af2-abfdd367241c,carla47@young-cox.net,7c67f2eb-5e39-4eaa-9973-477fee5e9658,Johnson Group,French Southern Territories,Tier 3,1,1,1,1
C009,97f603da-e5e1-4e45-886f-aa2e1764c915,stephanie80@santiago-butler.info,d3cb33a4-5296-4821-8282-eaf346c230bf,Lewis PLC,Malta,Tier 2,1,1,0,1
C056,5f4037af-107d-4491-8bc3-fa153a9f172c,brittany49@yahoo.com,54fe9df6-885f-40eb-84d0-6a0c300b9457,Gonzales-Esparza,Tuvalu,Tier 3,0,1,0,0
C079,1cb078df-07b6-477a-ad6b-8efa3a06aa33,amymiller@hotmail.com,dc4c347a-4ccc-489e-91af-ba375b54610f,Morrison-Estrada,Portugal,Tier 3,1,1,1,1
C084,0d790cc5-bcb1-4c47-a324-483ace74e904,julia36@pena-norris.info,468ec572-31cf-4434-880c-d354b12aa34d,Ramos-White,Russian Federation,Tier 3,1,0,1,0
C095,9392c475-3739-4063-8df9-f39df4ff5812,tallen@gmail.com,0460fb05-7bd3-4961-b717-3658a074b6df,Smith Ltd,Slovenia,Tier 1,0,1,1,0
C040,48c58899-6564-4efe-ab0e-f8811503fff3,lanepatricia@hotmail.com,0f3fc173-50ab-400d-9134-10b72e6276c9,Fry Ltd,Greece,Tier 1,1,1,1,0
C024,a0e7f509-f38d-4c76-880c-d175904dbbd4,nelsonkathryn@garner.com,ae28edcd-3d9c-4fd8-a75d-901a697111e5,"Soto, Smith and Burns",El Salvador,Tier 1,0,1,1,0
C099,c47d08bd-f023-4a57-ae71-a3c55da557df,hhamilton@berry.com,c01e1a71-3e60-4ed8-aa4f-c9db941ef4a7,Jimenez-Horne,Botswana,Tier 2,1,1,1,1
C011,740d7618-d1c8-4e81-8a47-245218cb3a91,dianegreen@werner.com,c1a3e6e5-9903-4673-9ef0-7bc56ad7f631,Price-Booker,Taiwan,Tier 2,0,1,1,1
C013,75a81885-34a2-40b7-a663-7d6f4e234775,lucas31@duarte.biz,6f2f94be-4277-4f85-b882-73ef10464dcc,"Mcmahon, Cabrera and Perez",Oman,Tier 3,1,0,1,1
C049,03d92e40-9c26-4267-8166-072017c0fad1,wolfechristy@hanson-williams.net,935f06b1-ae8f-4519-b6a2-177563c387c6,Thomas Ltd,Madagascar,Tier 1,0,1,0,0
C045,5348a6aa-a7cc-473f-95a0-f36396d4e4dc,jaredallen@moore-becker.biz,d1580b8d-56ac-4c75-9ec3-cb98725eeaaa,"Grant, Garrett and Jimenez",Turks and Caicos Islands,Tier 3,1,0,0,1
C030,9b896399-5607-4d4e-bbbc-71836dc26dfe,brownmark@ortega.com,2975215c-4ab1-4adf-b23a-e1f7e6ec45a0,"Wood, Daniels and Choi",Slovenia,Tier 2,1,1,1,1
C018,583d17e7-c6f3-4f53-af29-fb44ebe3d622,sheila98@singh-hughes.com,15438f76-3026-4124-ae56-de6fe3e34bb1,Jones-Hall,Kenya,Tier 3,1,1,1,1
C054,195b5d50-b30a-49f0-864b-1f0b7f9afca1,ssanchez@gmail.com,8555b554-bc88-4066-8945-b6bac6e06e3d,"Hale, Duke and Young",Western Sahara,Tier 2,1,0,0,0
C100,b8e31b8c-a794-467c-b170-b50b71efd8cf,qsanchez@jensen.info,bcc41bd6-133f-4e5f-a5a2-44ece125e89b,Pratt Group,Cocos (Keeling) Islands,Tier 3,1,1,1,1
C054,195b5d50-b30a-49f0-864b-1f0b7f9afca1,jorge76@martin.com,08224961-ffb2-43b9-b29d-49f8484f9acd,"Hale, Duke and Young",Western Sahara,Tier 2,1,1,1,1
C024,577043c0-b6d6-4a2a-86a0-ce3cc68ddaeb,nboyd@rhodes-edwards.com,6df3c16a-2bee-43f2-96c9-24a841b1d0fa,"Soto, Smith and Burns",El Salvador,Tier 3,1,1,0,0
C022,e7c2af1e-c7e2-465f-b9c2-d7b50875a73c,carlos29@santos.com,c491918d-9911-4786-800c-5bcf60292a93,"Oliver, Adams and Johnson",Tajikistan,Tier 2,1,1,1,0
C073,6c15bfb5-3920-4d63-82ea-4f84f747f9e5,patrick24@walsh.com,d5916bfa-df1d-495f-aba7-e579ed5547ad,"Williams, Perez and Delgado",Congo,Tier 2,0,1,1,1
C048,6b10e726-0a97-4b3e-8cb3-fbf03741fdc1,parkstracey@yahoo.com,fdfc969d-772c-4fd9-9df8-ed30cb563ed5,Thomas-Taylor,Cote d'Ivoire,Tier 1,0,1,1,0
C044,eb1edd05-ebbd-4050-90a5-4f1474897bda,rthompson@harrison-donaldson.info,7067fc40-6aeb-4733-94c4-175aa7fc91f0,Gonzales-Stewart,Finland,Tier 1,1,0,0,0
C014,3ec09cbc-7781-4bac-95d3-5c6a9ff3ad6a,emily75@yahoo.com,1f081cd6-bdf1-466d-9609-5581b06dd46c,Lopez Ltd,Cambodia,Tier 1,1,1,1,1
C100,b8e31b8c-a794-467c-b170-b50b71efd8cf,jacqueline32@gomez.com,c5d2c45c-ffac-405b-b5c8-e0e616fafc1b,Pratt Group,Cocos (Keeling) Islands,Tier 3,1,1,0,1
C039,2914a310-eef1-4130-89d0-9c23f682c484,latoyajoyce@yahoo.com,a413fe10-0ca7-4299-88a7-de8f119631af,Patel-Chen,South Georgia and the South Sandwich Islands,Tier 2,1,1,0,1
C016,dd3e1f34-5346-4512-a49f-d4ec1feca19a,michael12@olson-anderson.info,2d3354d7-cbb9-479b-8d97-3450e4216b45,"Cain, Mills and Wilkinson",United States Virgin Islands,Tier 3,1,1,1,1
C013,75a81885-34a2-40b7-a663-7d6f4e234775,shayes@yahoo.com,cff933ac-b4e1-4048-8941-8783b551f8b7,"Mcmahon, Cabrera and Perez",Oman,Tier 3,0,1,1,0
